profile_id,condition,gender,year_birth,race,education,income,party,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,funding_5,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,policy_1_1,policy_2_1,policy_3_1,policy_4_1,trust_post_1,distrust_1,donation,newsletter,belief_post_1,concern_1_1,concern_2_1,concern_3_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1
p00014,Social justice,Male,1991,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,80,95,55,65,60,95,90,95,75,35,75,90,35,80,90,85,80,90,25,95,50,50,90,20,2,2,80,90,75,45,90,90,30,15,75,55,85,100,60,95,80,90,50,75
p00015,Scientist community helpers,Male,1951,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,82,64,28,41,43,46,26,41,47,54,31,71,31,87,61,70,16,47,42,66,40,45,41,80,1,1,84,69,68,61,90,24,12,42,50,68,25,55,62,32,84,62,25,37
p00016,Former skeptics,Female,1946,White / Caucasian,Less than high school,"$30,000 to $55,999",Democrat,40,20,40,20,50,10,40,80,20,10,10,60,90,20,40,40,50,50,90,40,60,80,20,10,2,1,60,30,30,60,10,10,20,20,70,30,30,70,80,90,40,50,30,90
p00017,Model accuracy,Male,2003,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Republican,35,25,55,40,50,25,25,55,35,15,35,40,35,40,25,45,40,50,60,55,50,20,55,20,3,2,55,30,30,55,35,40,10,80,35,40,20,10,50,35,70,15,40,40
p00018,Consensus,Male,1953,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,85,15,35,40,60,50,80,35,85,40,90,80,10,25,10,40,65,25,20,75,40,50,35,0,0,2,75,20,10,10,10,10,10,15,5,15,10,85,25,35,15,15,20,30
p00019,control,Female,1976,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,50,50,50,75,50,25,50,50,50,75,75,25,100,100,25,50,75,50,75,100,75,50,75,75,2,2,50,50,50,75,100,50,75,50,75,50,75,50,50,25,75,75,50,100
p00020,Corporate reliance,Female,1966,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,90,65,90,85,100,85,90,100,85,100,25,15,85,70,20,100,95,85,100,85,90,65,100,0,2,1,90,85,100,95,100,55,0,100,0,25,95,100,90,100,90,100,90,95
p00021,Measurement & modeling (2),Male,1940,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,25,35,40,35,35,25,40,30,35,45,30,50,55,40,40,40,45,40,40,45,75,30,90,50,0,2,65,40,60,40,30,10,10,10,25,20,65,30,85,45,25,90,50,75
p00022,High public trust,Female,1997,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,60,30,15,20,20,10,45,50,55,25,40,55,80,15,55,10,30,10,50,45,55,10,30,15,1,2,20,25,10,40,25,10,55,20,40,20,15,45,15,50,75,50,20,75
p00023,control,Female,1973,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,45,15,30,75,25,50,30,35,15,45,55,55,70,50,35,35,10,65,65,55,55,75,55,90,2,2,60,15,35,10,55,60,55,45,10,70,40,55,65,45,25,50,55,45
p00024,Measurement & modeling (2),Male,1997,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,55,0,25,55,100,90,80,85,75,75,60,75,95,45,45,40,100,25,65,100,70,65,100,0,1,2,80,75,100,70,85,60,30,55,5,0,70,0,65,95,55,55,70,20
p00025,control,Male,1960,Other,Less than high school,"Less than $30,000",Democrat,15,15,42,35,77,46,53,47,16,52,41,21,81,50,49,26,36,29,54,62,66,52,30,21,0,2,55,48,17,75,54,8,19,71,36,54,25,67,74,57,83,44,46,51
p00026,control,Male,1995,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,73,80,82,83,89,87,89,78,69,85,86,89,81,84,59,77,59,81,79,72,85,62,79,9,2,1,80,83,84,80,66,75,42,88,75,25,81,76,90,91,92,61,83,76
p00027,Interview Prof. Maraun,Female,1988,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,75,70,40,50,5,65,100,85,100,100,95,100,100,100,100,70,45,60,90,90,90,95,75,20,3,2,95,90,85,85,95,70,100,65,95,100,100,100,100,100,100,100,95,95
p00028,Portrait Prof. Cherry,Male,1990,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat,80,100,80,90,80,80,90,70,70,40,70,90,90,10,70,60,90,70,70,90,70,40,90,30,2,2,50,40,70,60,50,100,80,90,40,80,90,50,80,40,90,80,30,40
p00029,Interview Prof. Maraun,Female,1955,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,50,40,30,50,100,60,50,40,80,70,60,50,50,60,20,60,40,80,10,50,40,80,70,10,6,2,10,100,30,30,10,30,10,0,10,10,70,60,30,20,40,40,80,30
p00030,Oil industry misinformation,Female,1979,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,85,48,43,58,57,60,89,76,74,42,77,57,78,52,68,73,49,73,88,77,70,83,44,10,1,2,77,82,85,75,89,34,72,56,90,17,89,90,86,81,77,84,77,92
p00031,Interview Prof. Sebille,Male,1966,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,50,55,45,80,60,80,85,55,90,50,45,50,80,30,80,40,75,85,50,45,65,55,90,10,0,2,55,60,20,40,45,65,70,60,55,50,80,45,65,60,80,75,55,70
p00032,Measurement & modeling (2),Female,1991,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,90,90,100,100,90,100,100,100,90,80,100,100,100,100,100,100,90,90,90,80,90,100,90,0,10,2,100,100,90,90,100,100,100,90,90,100,100,100,80,100,90,100,100,100
p00033,control,Female,1950,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,100,80,0,60,30,30,50,20,80,70,70,70,60,100,70,80,100,70,60,20,90,50,100,10,5,2,90,80,90,60,50,40,50,50,80,60,100,50,50,100,100,90,90,80
p00034,Scientist community helpers,Male,1985,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Democrat,80,65,80,75,60,40,70,50,60,80,50,85,80,85,85,40,85,70,90,65,80,85,75,20,6,1,80,65,75,50,30,90,60,15,20,90,60,55,25,35,75,65,65,75
p00035,Consensus,Male,1980,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,45,50,90,70,70,70,60,45,85,70,25,75,70,45,65,70,90,60,85,65,80,75,25,45,9,2,80,75,90,55,15,85,55,55,65,45,30,45,90,70,65,85,85,65
p00036,Interview Prof. Maraun,Female,1997,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,80,80,90,85,80,60,90,75,75,70,45,85,85,50,90,65,90,85,85,75,80,75,80,20,2,2,85,90,90,65,40,80,80,90,70,75,85,90,85,65,90,90,80,75
p00037,Oil industry misinformation,Female,1993,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,75,50,55,5,50,60,75,75,40,40,60,35,60,80,60,75,30,90,55,60,80,30,65,30,3,2,45,35,45,35,25,25,90,55,15,75,55,55,50,35,70,50,35,30
p00038,Extreme weather predictions,Male,1989,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,35,10,30,40,65,35,35,40,35,25,25,10,20,20,15,20,25,30,35,55,35,75,30,20,1,2,25,40,40,25,55,25,15,10,20,45,80,45,35,55,35,50,75,65
p00039,Measurement & modeling (2),Male,1970,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,95,100,95,85,100,100,100,90,95,100,90,100,90,100,90,100,100,60,70,90,65,30,100,10,3,2,65,90,75,30,60,70,40,50,50,40,85,80,100,100,95,60,90,70
p00040,Interview Prof. Maraun,Female,1988,Other,Bachelor's degree,"$100,000 to $167,999",Republican,50,0,10,40,80,10,0,0,0,50,40,20,30,10,80,100,60,0,50,70,60,80,70,40,3,2,40,90,50,0,60,40,20,50,70,20,80,30,10,20,0,40,40,100
p00041,High public trust,Male,1949,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,0,10,60,30,70,10,60,40,30,30,40,80,10,40,50,70,60,30,50,70,40,90,90,0,0,2,50,80,40,30,90,60,70,80,70,30,50,50,70,60,60,70,60,60
p00042,Portrait Prof. Cherry,Female,1969,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,87,98,82,100,100,100,87,86,100,52,100,84,100,0,0,76,66,75,77,80,73,63,65,79,1,1,73,79,79,66,23,44,88,28,17,26,46,92,43,75,94,75,73,75
p00043,control,Female,1981,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Democrat,20,55,40,55,40,65,75,70,70,45,65,35,25,80,65,35,65,45,25,60,60,75,65,10,2,2,60,45,70,60,45,85,90,70,85,40,25,60,50,50,45,65,90,45
p00044,Peer-review,Male,1957,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,65,55,70,80,65,5,40,25,45,35,30,45,0,10,35,90,25,50,60,55,65,40,65,35,10,2,65,15,45,15,20,0,10,5,50,35,25,50,30,5,50,60,40,25
p00045,control,Male,1955,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican,30,10,50,50,40,40,40,20,60,10,30,60,20,60,40,20,50,50,30,70,20,20,90,20,0,2,20,10,60,10,10,50,10,10,30,20,20,20,20,50,10,80,10,10
p00046,Corporate reliance,Male,1998,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,80,30,70,90,70,90,60,80,90,40,90,40,50,90,80,90,40,80,90,80,70,90,80,40,3,2,80,90,60,90,50,70,70,50,70,50,40,40,50,80,80,40,80,60
p00047,Interview Prof. Maraun,Female,1995,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,10,20,30,20,30,20,50,60,40,20,20,30,30,60,20,30,50,30,70,30,70,60,50,10,3,2,40,70,60,40,80,40,40,40,50,80,70,60,40,70,60,70,70,70
p00048,Former skeptics,Male,2006,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican,80,5,60,25,15,10,0,55,0,70,75,55,45,100,100,0,20,80,50,20,35,40,45,0,1,2,0,10,0,5,60,100,0,5,80,75,0,5,40,25,5,0,40,30
p00049,control,Male,1979,Black / African American,High school diploma / GED,"Less than $30,000",Republican,0,45,40,70,65,25,90,85,85,15,45,15,60,35,10,25,40,80,20,55,20,30,35,85,3,2,70,10,35,45,50,40,60,35,15,10,5,25,70,65,75,55,100,60
p00050,Former skeptics,Female,1961,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,50,75,75,75,25,50,25,100,25,50,75,50,75,50,50,25,75,50,75,50,50,75,75,50,0,2,50,75,75,50,25,50,0,25,50,50,50,50,75,75,25,50,25,50
p00051,Measurement & modeling (1),Male,1946,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,70,80,80,90,80,35,65,60,90,65,75,85,40,90,75,65,90,85,100,80,75,80,95,45,3,2,90,70,75,90,70,65,80,100,60,80,95,85,90,45,90,55,100,60
p00052,Scientist community helpers,Female,1987,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,65,90,40,90,70,70,60,65,80,80,75,75,85,45,75,65,75,35,75,65,60,90,60,10,0,1,25,35,45,40,50,80,55,50,75,65,45,20,50,85,35,65,35,70
p00053,Scientist community helpers,Female,1999,Other,High school diploma / GED,"$30,000 to $55,999",Democrat,0,30,50,50,40,40,40,40,30,50,30,70,80,40,40,80,60,50,100,100,100,80,60,50,5,2,90,100,70,60,60,60,70,60,70,40,90,90,90,100,100,90,90,90
p00054,Model accuracy,Female,1968,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,90,68,66,82,89,100,80,69,47,92,46,88,47,50,72,63,85,77,82,48,93,42,81,26,1,2,97,87,90,19,9,70,90,71,100,65,70,39,57,100,70,64,66,100
p00055,Oil industry misinformation,Female,1981,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,70,60,100,90,100,80,70,100,100,100,40,90,80,90,100,90,100,100,70,80,70,70,90,0,4,1,100,80,40,70,70,80,40,70,70,60,60,80,80,70,100,50,100,100
p00056,Corporate reliance,Male,1991,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,90,80,90,80,80,90,80,65,90,65,70,75,80,65,45,70,65,60,65,35,85,90,75,15,5,2,75,50,90,90,45,65,90,55,60,60,45,75,60,55,80,50,60,70
p00057,Interview Prof. Sebille,Female,1984,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,60,60,20,20,20,90,10,20,80,50,10,80,10,60,40,30,50,50,70,30,60,50,20,20,3,2,20,60,40,50,40,50,50,20,50,50,20,20,40,30,10,0,80,40
p00058,Funding,Male,1992,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,90,100,90,80,70,50,80,80,40,60,60,100,90,70,80,80,50,80,90,90,80,90,100,80,4,2,100,80,80,80,90,50,60,0,10,90,90,90,90,80,80,70,80,100
p00059,High public trust,Female,1969,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,70,60,90,10,65,75,75,45,70,50,70,50,10,45,85,80,70,45,50,80,45,60,20,40,4,2,85,85,80,40,40,40,75,45,80,45,50,50,90,90,70,80,75,80
p00060,Portrait Prof. Cherry,Female,1999,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,55,60,80,70,85,75,80,70,80,85,90,85,70,45,60,35,60,80,60,85,90,75,70,20,8,2,90,90,80,80,65,60,45,70,90,60,75,55,90,60,85,50,85,80
p00061,Extreme weather predictions,Female,1970,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,45,60,30,100,80,100,5,95,30,45,100,55,90,15,40,25,80,40,85,55,55,55,70,40,4,2,20,70,95,85,60,15,50,0,30,45,75,95,75,100,65,25,45,70
p00062,Interview Prof. Maraun,Male,1985,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,90,100,60,100,90,90,70,100,80,100,90,20,100,90,80,90,20,0,30,70,70,90,80,30,8,2,70,70,80,20,60,70,100,20,30,0,70,90,70,70,20,20,90,80
p00063,Oil industry misinformation,Male,1998,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,10,10,10,40,35,80,45,30,15,10,45,20,15,30,10,55,55,10,60,35,50,25,15,10,1,2,70,35,55,25,15,30,20,15,30,55,55,50,35,55,65,30,15,75
p00064,Portrait Prof. Cherry,Female,2003,Other,Some college or Associate's degree,"$168,000 or more",Democrat,84,99,88,90,96,89,99,86,90,66,88,80,99,74,95,65,48,99,27,64,53,76,92,16,9,1,88,78,64,99,95,82,82,99,100,64,69,66,84,76,26,41,57,68
p00065,Social justice,Male,2000,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,30,30,10,20,20,30,70,20,90,40,50,10,50,20,10,40,50,20,60,90,20,80,70,80,8,2,30,40,50,30,30,50,20,10,60,80,60,60,40,50,60,30,50,20
p00066,Model accuracy,Male,1985,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,70,90,80,90,80,80,70,70,80,70,80,90,80,80,40,80,90,80,80,90,80,90,80,20,10,2,80,90,80,90,80,90,70,80,30,80,70,70,50,80,70,80,90,70
p00067,Funding,Male,1991,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat,60,95,45,80,95,30,65,25,60,80,20,35,35,65,40,50,80,5,85,55,45,100,25,10,1,2,90,95,90,20,10,65,65,35,85,70,65,85,80,90,80,65,95,85
p00068,Model accuracy,Female,1972,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,52,71,76,52,27,40,39,28,52,73,55,57,86,56,84,36,14,43,29,20,87,70,36,51,0,2,26,60,40,48,67,23,49,74,34,57,31,68,54,86,64,46,33,56
p00069,Peer-review,Female,1966,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,70,95,40,30,55,25,30,70,80,30,30,0,60,65,60,55,70,75,95,65,75,80,55,10,6,1,85,65,80,95,50,80,70,35,60,80,75,60,100,60,80,90,80,90
p00070,Portrait Prof. Cherry,Female,1966,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,75,55,30,90,50,40,15,10,75,80,75,55,25,35,50,15,70,55,75,40,80,45,85,90,5,2,70,10,55,20,60,90,20,15,60,10,25,70,50,30,55,60,45,60
p00071,High public trust,Female,1957,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,25,15,60,40,15,15,60,90,25,80,20,55,65,55,35,80,45,45,95,75,60,50,5,10,3,2,60,75,75,70,85,10,30,75,50,55,40,50,75,45,45,90,70,20
p00072,High public trust,Female,1958,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,85,70,70,70,75,90,60,85,80,90,85,80,85,80,70,65,70,60,90,70,95,80,85,35,7,1,95,90,100,50,85,70,90,85,95,60,95,65,90,40,85,95,65,50
p00073,Measurement & modeling (1),Female,1978,Black / African American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,75,75,45,70,90,75,60,90,75,75,85,50,80,90,65,75,90,80,80,60,80,60,80,40,0,2,85,55,70,80,50,30,40,50,85,65,70,85,70,85,40,65,80,90
p00074,Peer-review,Female,1960,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican,55,80,40,90,90,30,55,50,45,50,50,75,40,10,45,45,75,45,10,25,40,75,65,10,2,2,20,30,15,10,15,20,10,15,20,15,30,35,50,55,60,20,20,60
p00075,Consensus,Male,1961,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,45,30,30,25,10,75,55,40,20,30,45,45,25,75,60,25,10,50,35,20,20,55,55,15,0,2,45,15,45,15,25,40,35,35,10,45,15,20,35,20,15,20,10,20
p00076,Portrait Prof. Cherry,Female,2007,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,80,90,50,40,70,80,60,70,40,90,80,90,90,90,90,70,60,60,60,70,50,90,70,20,9,2,80,90,50,70,60,80,80,90,70,90,70,70,50,70,70,80,80,80
p00077,Social justice,Male,2007,Black / African American,Less than high school,"Less than $30,000",Democrat,90,10,50,50,90,45,50,30,65,55,95,65,50,55,20,45,25,40,85,70,85,85,35,90,8,2,85,95,75,60,20,90,70,35,85,15,85,90,80,80,85,80,95,90
p00078,control,Female,1957,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,53,16,24,28,29,13,92,26,47,38,47,35,83,36,16,37,89,31,47,79,82,81,20,27,2,2,42,82,92,77,19,21,14,10,22,20,67,72,71,80,78,63,81,77
p00079,Portrait Prof. Cherry,Male,1973,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,50,50,50,50,100,50,75,50,50,25,50,50,50,75,25,50,75,75,50,50,75,50,75,50,6,1,50,25,25,75,50,25,25,50,50,50,50,75,75,50,50,50,50,75
p00081,Measurement & modeling (1),Female,1997,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,75,80,80,80,60,90,65,90,80,90,80,80,90,75,65,70,75,80,80,70,85,80,85,20,9,1,85,70,85,80,55,60,90,65,85,90,80,90,85,85,80,80,80,85
p00082,Oil industry misinformation,Male,1974,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,80,80,90,80,40,60,70,40,40,60,90,60,80,30,80,90,80,80,80,90,80,90,100,100,4,2,100,90,80,70,40,60,40,0,90,0,100,90,90,100,90,70,100,90
p00083,Model accuracy,Male,1961,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,50,80,80,50,80,50,40,50,40,50,60,70,100,30,0,30,30,20,80,30,50,40,90,0,1,2,50,30,60,50,0,20,60,20,10,10,0,80,60,30,30,30,90,80
p00084,Portrait Prof. Cherry,Male,1948,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,25,55,55,55,35,65,50,45,60,75,75,70,15,15,45,65,70,40,85,45,55,50,10,20,2,2,55,85,55,60,20,60,10,50,30,15,55,90,75,20,55,60,20,65
p00085,Measurement & modeling (1),Female,1992,Hispanic / Latino,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,80,90,90,100,100,100,80,90,100,100,90,100,60,90,90,70,90,90,50,80,100,90,100,0,8,1,60,80,90,60,100,100,100,100,90,100,80,80,40,100,100,100,50,40
p00086,control,Male,1987,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,20,20,40,30,60,40,60,50,50,10,30,60,30,30,10,40,40,10,50,10,50,30,10,60,0,2,10,30,10,20,30,20,40,30,40,40,10,30,20,30,50,30,20,10
p00087,Measurement & modeling (2),Male,1998,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican,50,35,25,0,5,5,10,75,15,5,35,40,55,60,25,25,15,15,5,70,5,30,25,60,0,2,15,10,70,50,30,0,0,10,5,10,30,95,40,65,10,0,30,35
p00088,Extreme weather predictions,Male,1998,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,74,66,85,100,92,41,100,100,46,31,58,99,55,98,61,85,77,29,78,100,20,17,92,0,3,2,2,93,80,41,50,61,58,16,75,1,80,70,37,27,53,49,82,33
p00089,Former skeptics,Male,1958,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Democrat,65,65,80,55,65,55,60,85,65,65,80,80,85,75,80,75,75,70,80,65,90,70,75,25,6,2,70,65,65,90,65,90,40,45,40,70,35,55,35,90,75,70,90,85
p00091,Interview Prof. Sebille,Female,1963,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,0,10,10,0,10,0,0,100,30,20,40,40,0,20,0,10,50,20,0,10,40,30,40,40,0,2,20,20,70,20,20,10,20,10,10,10,70,30,40,20,40,30,20,20
p00092,Peer-review,Male,1981,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat,70,40,70,50,35,30,70,55,55,55,45,75,90,60,45,55,25,30,70,65,75,80,30,45,3,1,90,80,75,90,30,35,40,20,55,45,90,60,80,85,65,80,80,75
p00093,Oil industry misinformation,Female,1974,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,90,100,60,60,90,70,100,100,40,20,40,50,40,70,90,90,90,100,100,90,80,30,40,10,1,2,100,100,80,90,0,80,70,80,80,20,80,100,10,60,60,50,40,100
p00094,Scientist community helpers,Male,1989,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,85,65,75,75,80,80,90,85,85,40,80,85,90,35,65,90,50,75,35,60,50,30,70,20,4,2,40,20,15,65,20,20,15,15,20,70,60,70,35,55,75,50,45,35
p00095,Corporate reliance,Male,2005,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,10,10,20,20,30,0,0,50,10,10,0,0,40,20,10,30,10,10,50,10,50,40,10,70,1,2,30,30,30,40,20,20,30,40,40,30,40,30,30,40,30,10,40,50
p00096,Interview Prof. Sebille,Male,1998,Asian / Asian American,Bachelor's degree,"$100,000 to $167,999",Republican,60,80,100,80,80,80,80,60,90,90,80,100,90,50,60,60,40,60,90,90,90,100,90,10,3,2,70,100,90,90,40,50,70,50,60,60,70,90,80,100,70,90,80,100
