profile_id,condition,gender,year_birth,race,education,income,party,trust_competent_1,trust_intelligent_1,trust_qualified_1,trust_honest_1,trust_ethical_1,trust_sincere_1,trust_concerned_1,trust_improve_1,trust_considerate_1,trust_feedback_1,trust_transparent_1,trust_attention_1,funding_5,inst_trust_epa_1,inst_trust_nasa_1,inst_trust_noaa_1,inst_trust_uni_1,inst_trust_gov_1,policy_1_1,policy_2_1,policy_3_1,policy_4_1,trust_post_1,distrust_1,donation,newsletter,belief_post_1,concern_1_1,concern_2_1,concern_3_1,individual_meat_1,individual_transport_1,individual_solar_1,individual_fly_1,individual_talk_1,individual_donate_1,policy_general_1,policy_specific_1_1,policy_specific_2_1,policy_specific_3_1,policy_specific_4_1,policy_specific_5_1,policy_specific_6_1,policy_specific_7_1
p00011,Measurement & modeling (2),Female,1981,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,98,100,55,92,51,60,66,85,92,99,87,50,13,99,89,93,84,25,87,93,70,91,71,5,9,2,94,69,96,78,98,90,88,22,93,77,93,87,51,82,71,79,47,88
p00012,control,Male,1992,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Republican,70,60,70,70,90,30,90,100,40,40,70,50,70,80,60,10,80,70,30,40,50,30,60,50,10,1,60,20,60,10,20,10,0,0,60,20,10,70,40,10,30,60,20,50
p00013,Peer-review,Female,1971,Black / African American,Some college or Associate's degree,"Less than $30,000",Democrat,90,90,90,80,90,80,90,80,80,70,80,90,20,50,60,90,60,70,70,60,80,80,90,30,7,2,80,90,90,70,60,60,30,40,60,30,80,90,60,80,90,40,80,90
p00014,Scientist community helpers,Male,1991,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,50,90,60,40,60,40,80,50,60,60,50,70,10,40,90,70,80,20,80,60,90,50,40,40,4,2,80,60,60,50,70,70,40,70,90,70,70,80,80,90,80,70,80,80
p00015,Measurement & modeling (1),Male,1951,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,76,72,76,66,51,54,54,52,80,82,53,65,73,31,75,74,5,22,33,24,72,64,65,11,2,2,94,3,76,88,23,15,11,32,40,92,22,66,90,85,21,4,18,90
p00016,High public trust,Female,1946,White / Caucasian,Less than high school,"$30,000 to $55,999",Democrat,60,65,55,65,60,55,60,35,50,55,65,40,15,55,60,50,50,35,50,55,80,70,60,50,4,2,70,45,90,50,25,65,10,80,55,50,75,65,55,75,85,40,75,60
p00017,Corporate reliance,Male,2003,Hispanic / Latino,High school diploma / GED,"$30,000 to $55,999",Republican,6,36,29,3,12,3,36,5,8,5,7,1,92,19,2,15,35,14,8,11,17,12,4,83,0,2,10,16,16,3,8,3,9,6,13,2,45,18,81,24,47,18,2,52
p00018,Former skeptics,Male,1953,White / Caucasian,Less than high school,"$30,000 to $55,999",Republican,10,70,10,20,10,20,0,10,10,30,20,0,90,10,10,10,0,10,70,20,50,20,0,20,1,2,0,0,10,20,0,20,20,20,10,0,20,40,0,30,0,10,20,30
p00019,Interview Prof. Sebille,Female,1976,Hispanic / Latino,Less than high school,"$30,000 to $55,999",Democrat,85,30,65,50,40,45,55,40,35,25,35,55,30,35,50,40,70,40,40,60,50,55,20,55,1,2,45,50,35,55,15,25,10,30,10,20,40,85,40,70,10,50,50,75
p00020,Measurement & modeling (2),Female,1966,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,70,70,70,70,70,60,40,70,50,50,50,20,50,70,60,70,90,90,70,50,60,60,60,30,6,2,40,90,60,70,80,40,50,50,20,70,70,40,70,80,70,60,60,70
p00021,Corporate reliance,Male,1940,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Independent,70,40,25,20,60,30,25,25,20,55,40,40,45,15,15,40,30,10,45,50,85,20,30,25,4,2,30,35,35,20,15,10,25,30,45,15,20,15,15,25,65,15,25,40
p00022,Measurement & modeling (2),Female,1997,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,10,0,20,10,0,20,10,10,10,40,0,0,100,30,50,0,0,0,100,10,10,10,10,90,1,2,10,30,0,10,0,10,10,0,0,10,0,0,20,30,60,10,0,10
p00023,control,Female,1973,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,10,15,0,20,30,30,55,35,20,15,0,40,90,10,10,20,15,35,25,10,45,5,10,35,2,2,20,10,0,20,10,10,15,5,0,10,15,10,5,5,25,10,60,35
p00024,Portrait Prof. Cherry,Male,1997,Black / African American,High school diploma / GED,"$56,000 to $99,999",Democrat,60,70,70,90,50,60,70,40,50,70,60,70,20,90,80,90,60,60,60,90,70,70,70,10,1,2,70,80,70,70,70,30,30,60,40,70,80,70,70,70,80,20,70,50
p00025,Interview Prof. Sebille,Male,1960,Other,Less than high school,"Less than $30,000",Democrat,45,55,70,40,75,55,55,45,70,50,40,45,65,90,45,50,45,45,35,50,85,70,75,25,2,2,50,40,45,55,75,10,10,10,25,15,65,60,55,75,50,50,50,85
p00026,Funding,Male,1995,Hispanic / Latino,Some college or Associate's degree,"$168,000 or more",Democrat,73,90,72,63,72,73,71,80,74,49,72,44,27,69,82,86,45,78,44,86,63,70,49,27,1,1,58,46,82,71,39,75,9,78,91,59,86,18,87,63,79,18,84,63
p00027,Social justice,Female,1988,Black / African American,Bachelor's degree,"$100,000 to $167,999",Democrat,90,65,90,70,70,35,75,60,50,65,75,45,35,90,60,90,85,85,90,65,70,70,80,15,6,1,65,55,85,90,80,80,35,70,85,60,80,60,90,45,75,45,90,70
p00028,Consensus,Male,1990,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat,50,70,60,60,100,70,90,40,90,60,70,30,90,80,20,60,80,70,90,80,90,90,60,50,8,2,80,90,100,90,50,70,10,10,70,20,100,80,80,90,80,50,80,100
p00029,control,Female,1955,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,85,80,50,85,80,60,90,85,85,65,75,65,15,70,80,75,70,50,50,55,70,65,60,25,2,2,65,75,50,80,10,35,25,20,70,20,50,55,50,70,70,50,80,85
p00030,Funding,Female,1979,Hispanic / Latino,Some college or Associate's degree,"Less than $30,000",Democrat,55,90,60,55,45,35,75,45,45,45,65,65,10,45,65,70,65,35,85,65,85,80,70,25,6,2,85,60,35,60,90,55,60,60,45,65,90,50,75,90,85,50,85,85
p00031,Model accuracy,Male,1966,Hispanic / Latino,Bachelor's degree,"$56,000 to $99,999",Democrat,45,30,55,25,25,40,75,15,55,30,60,15,40,80,50,60,45,55,80,70,60,55,65,85,6,2,65,55,60,40,10,60,65,45,40,75,60,40,40,90,85,45,70,60
p00032,control,Female,1991,Asian / Asian American,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,95,85,80,90,90,95,85,95,85,90,85,95,10,80,95,65,85,30,65,75,80,75,90,10,5,2,70,95,90,50,65,80,90,95,100,30,90,75,100,95,55,60,65,75
p00033,Peer-review,Female,1950,Black / African American,Some college or Associate's degree,"$30,000 to $55,999",Democrat,85,70,95,70,65,70,95,80,60,70,100,65,40,70,65,70,75,90,70,85,90,75,85,0,1,2,75,85,65,65,50,25,5,80,50,15,75,30,100,80,100,5,80,80
p00034,Interview Prof. Maraun,Male,1985,Black / African American,Some college or Associate's degree,"$100,000 to $167,999",Democrat,60,65,55,80,80,70,35,50,55,65,75,65,35,75,35,65,60,70,85,85,65,55,85,20,8,2,85,90,70,60,65,70,20,45,85,35,90,65,85,90,75,55,30,55
p00035,High public trust,Male,1980,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,60,65,75,60,65,50,60,55,50,65,75,35,65,45,80,90,85,55,45,60,80,70,50,15,4,2,70,65,60,65,45,25,90,50,35,90,45,45,75,80,60,45,70,65
p00036,Social justice,Female,1997,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,72,62,84,79,99,84,60,79,50,65,29,61,8,42,67,53,55,88,99,80,86,95,62,20,1,1,92,83,96,68,73,80,14,35,84,27,95,86,97,84,99,84,81,86
p00037,Social justice,Female,1993,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,0,40,60,30,0,30,30,10,50,0,0,10,0,40,20,0,30,20,80,30,80,60,0,100,1,2,10,10,50,30,20,90,20,0,30,50,0,0,30,30,60,0,70,80
p00038,Model accuracy,Male,1989,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Republican,60,40,60,70,60,70,60,50,30,50,50,30,20,50,60,30,30,20,50,80,30,30,70,10,2,2,50,50,30,40,20,10,10,60,10,20,30,30,20,30,50,40,60,50
p00039,Corporate reliance,Male,1970,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,75,75,75,75,25,100,75,75,75,50,50,50,25,50,100,75,100,50,75,50,75,75,75,0,5,2,100,75,25,100,75,25,0,50,25,75,75,100,25,100,50,100,50,100
p00040,Funding,Female,1988,Other,Bachelor's degree,"$100,000 to $167,999",Republican,60,50,60,70,20,60,30,30,40,50,20,50,70,30,70,70,40,30,40,30,60,20,80,30,3,2,30,10,10,70,60,10,30,30,20,10,30,20,30,60,70,20,80,60
p00041,Interview Prof. Sebille,Male,1949,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Independent,10,10,10,30,40,10,10,30,10,0,10,0,40,30,0,90,10,40,90,100,100,90,30,90,1,2,100,60,90,50,0,10,0,0,0,10,40,70,90,100,90,80,90,40
p00042,Peer-review,Female,1969,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,10,70,20,20,0,10,10,10,40,0,0,10,80,20,20,20,10,10,70,80,60,30,0,70,1,1,80,100,70,70,10,10,30,50,0,10,100,60,100,80,60,20,90,90
p00043,Portrait Prof. Cherry,Female,1981,Hispanic / Latino,Bachelor's degree,"$168,000 or more",Democrat,96,92,88,83,92,99,60,73,79,82,83,94,14,95,88,91,98,53,83,77,84,96,87,37,5,1,95,98,87,93,72,91,91,100,99,95,87,69,91,88,88,35,85,97
p00044,Consensus,Male,1957,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,50,50,50,50,30,50,60,0,20,30,30,80,80,60,20,40,20,30,10,0,40,20,30,20,2,2,30,30,0,10,40,40,40,0,10,0,30,10,0,60,100,0,50,50
p00045,Former skeptics,Male,1955,White / Caucasian,Master's degree / Professional degree,"Less than $30,000",Republican,90,90,70,100,100,70,30,80,70,60,70,60,80,10,90,20,70,90,100,60,90,60,80,0,1,2,100,80,30,80,10,30,10,10,20,10,90,10,40,40,70,10,50,100
p00046,Interview Prof. Sebille,Male,1998,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Democrat,95,95,90,85,95,95,80,100,95,95,95,65,5,85,80,65,95,90,55,95,75,60,90,5,8,2,85,90,70,85,70,45,50,75,95,85,80,80,95,60,80,85,90,95
p00047,Former skeptics,Female,1995,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Republican,40,45,65,80,25,50,55,30,45,70,50,45,75,55,35,35,50,30,55,10,15,25,35,65,1,2,45,10,25,30,40,50,20,40,10,45,20,15,30,40,45,15,40,55
p00048,Scientist community helpers,Male,2006,Asian / Asian American,High school diploma / GED,"$56,000 to $99,999",Republican,100,75,80,80,75,25,50,95,100,20,20,40,30,20,90,100,60,95,95,5,85,55,85,0,6,2,95,45,20,15,70,100,0,70,55,90,35,95,100,100,90,5,75,70
p00049,Corporate reliance,Male,1979,Black / African American,High school diploma / GED,"Less than $30,000",Republican,80,80,65,50,45,20,25,30,60,35,30,45,45,15,30,25,40,15,35,30,25,50,65,20,1,2,30,15,10,20,15,20,75,30,35,10,55,10,55,35,55,15,30,30
p00050,Corporate reliance,Female,1961,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Democrat,10,5,5,0,10,0,50,25,30,0,10,35,55,80,10,0,55,5,85,0,45,50,0,100,2,2,60,55,55,45,0,15,0,10,10,0,45,25,45,45,40,10,15,55
p00051,Interview Prof. Maraun,Male,1946,White / Caucasian,Master's degree / Professional degree,"$30,000 to $55,999",Independent,65,45,65,70,55,25,70,60,50,65,60,70,15,55,90,60,60,45,45,45,85,70,55,25,4,2,65,65,35,65,50,65,35,45,55,45,55,70,55,85,90,50,35,85
p00052,control,Female,1987,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Independent,75,50,75,75,75,75,50,100,75,75,100,50,25,25,75,50,100,50,75,25,75,50,75,25,8,2,75,75,75,75,75,50,25,75,75,50,75,50,25,75,50,50,50,75
p00053,Measurement & modeling (2),Female,1999,Other,High school diploma / GED,"$30,000 to $55,999",Democrat,30,15,20,35,35,0,5,55,25,0,75,75,15,35,20,25,25,15,95,100,100,85,20,90,4,2,100,100,90,90,85,60,75,65,75,65,95,95,95,95,100,65,95,95
p00054,control,Female,1968,Black / African American,Bachelor's degree,"$56,000 to $99,999",Democrat,75,65,70,50,70,35,30,90,70,35,70,45,10,65,70,80,80,30,50,90,65,55,70,30,2,1,90,75,85,55,25,50,30,35,50,55,90,50,60,40,80,50,60,65
p00055,Model accuracy,Female,1981,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Democrat,50,74,66,72,65,64,92,86,52,13,25,79,23,54,57,59,54,32,61,62,72,20,9,12,8,1,80,43,51,62,84,58,18,15,15,33,60,92,86,77,83,41,46,84
p00056,Interview Prof. Sebille,Male,1991,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,70,90,95,100,95,100,85,95,65,90,70,85,15,45,80,85,85,65,65,55,85,65,65,40,0,2,70,90,95,90,70,90,80,70,85,90,100,80,80,90,70,55,85,85
p00057,Social justice,Female,1984,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Republican,68,100,77,68,53,84,16,41,100,76,48,62,1,14,91,68,48,30,55,37,18,55,75,6,5,2,0,5,39,34,8,19,63,61,32,0,49,25,19,0,75,38,40,12
p00058,Social justice,Male,1992,White / Caucasian,Some college or Associate's degree,"Less than $30,000",Democrat,70,50,90,90,100,90,80,70,50,80,80,100,20,90,80,70,90,100,70,60,90,90,90,10,7,2,90,80,60,80,80,20,10,80,100,30,80,80,90,100,90,40,90,80
p00059,Consensus,Female,1969,White / Caucasian,Doctorate degree / Ph.D.,"$100,000 to $167,999",Democrat,75,85,45,65,85,75,85,75,65,90,70,85,35,40,80,60,65,70,85,60,90,80,85,20,1,2,45,65,85,25,80,65,60,40,85,65,85,80,90,85,85,50,85,55
p00060,control,Female,1999,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,75,55,70,40,50,70,40,65,55,40,55,55,20,80,45,40,90,30,30,75,90,60,90,10,7,1,50,65,85,65,65,80,55,90,50,90,65,65,25,80,80,80,90,75
p00061,Oil industry misinformation,Female,1970,White / Caucasian,Bachelor's degree,"$168,000 or more",Democrat,100,100,75,75,50,75,100,75,75,50,75,100,0,25,75,50,100,75,75,75,100,75,75,25,1,2,75,75,100,75,75,50,50,25,75,25,75,50,50,75,75,50,75,75
p00062,Consensus,Male,1985,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,100,95,85,90,100,100,85,85,95,70,90,50,10,75,95,95,45,80,100,70,85,100,100,5,3,2,95,85,90,80,45,35,90,70,90,40,100,80,85,70,40,30,90,90
p00063,Portrait Prof. Cherry,Male,1998,White / Caucasian,High school diploma / GED,"$30,000 to $55,999",Republican,10,40,40,20,0,10,10,30,10,0,10,0,30,0,30,20,10,50,50,70,50,50,10,70,4,2,50,10,40,60,30,0,20,20,60,20,30,30,40,20,60,20,20,50
p00064,Portrait Prof. Cherry,Female,2003,Other,Some college or Associate's degree,"$168,000 or more",Democrat,40,35,50,40,35,90,60,75,35,55,65,30,40,40,75,70,45,25,65,75,65,75,70,65,1,2,90,50,90,65,40,10,10,25,20,20,75,70,65,65,30,60,65,85
p00065,Funding,Male,2000,Hispanic / Latino,Some college or Associate's degree,"$30,000 to $55,999",Republican,83,86,71,60,47,62,77,42,84,20,45,42,59,0,48,57,87,53,66,59,79,100,82,100,9,1,83,68,71,22,51,50,34,0,8,37,94,39,39,60,69,0,28,94
p00066,Peer-review,Male,1985,White / Caucasian,Bachelor's degree,"Less than $30,000",Democrat,95,100,90,80,90,95,100,65,100,95,70,85,15,85,90,75,85,65,90,75,95,90,75,5,9,2,95,75,55,95,65,90,50,65,85,90,90,95,90,95,95,80,85,85
p00067,Portrait Prof. Cherry,Male,1991,Hispanic / Latino,Less than high school,"Less than $30,000",Democrat,50,60,60,30,20,50,100,50,0,20,0,60,20,50,100,60,50,40,60,90,100,90,60,30,2,2,100,100,100,100,30,0,0,0,20,60,90,100,100,100,90,50,100,90
p00068,Consensus,Female,1972,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,70,80,60,40,50,30,50,50,30,30,50,40,30,20,30,40,20,70,20,30,80,40,70,20,2,2,50,30,10,20,20,30,10,20,40,20,30,30,70,30,30,40,20,70
p00069,Interview Prof. Sebille,Female,1966,Black / African American,Master's degree / Professional degree,"$30,000 to $55,999",Democrat,70,80,90,90,60,80,50,70,70,70,60,60,90,80,60,90,80,80,60,50,30,90,80,30,3,1,90,90,60,80,40,60,10,40,90,60,80,70,50,80,70,30,80,70
p00070,Consensus,Female,1966,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Republican,70,90,70,70,60,80,50,70,60,60,80,80,50,10,60,50,70,20,80,30,80,30,80,10,1,2,30,20,40,20,10,40,20,40,30,10,30,40,40,20,70,10,60,50
p00071,Interview Prof. Sebille,Female,1957,White / Caucasian,High school diploma / GED,"$100,000 to $167,999",Democrat,60,70,80,30,80,70,50,70,70,90,20,30,10,50,70,70,60,50,80,50,60,30,60,30,2,2,60,70,50,80,10,50,20,40,10,10,70,60,60,90,60,60,60,30
p00072,Portrait Prof. Cherry,Female,1958,White / Caucasian,Bachelor's degree,"$56,000 to $99,999",Democrat,100,100,80,80,70,60,60,80,100,60,70,70,40,50,90,60,90,80,80,100,90,90,90,20,9,2,90,60,80,60,90,60,70,30,20,100,60,80,80,90,90,40,100,100
p00073,Interview Prof. Sebille,Female,1978,Black / African American,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,50,90,95,95,55,90,70,100,80,100,80,75,75,40,100,100,45,20,90,75,80,85,90,15,6,2,90,90,85,100,75,80,65,100,50,80,90,75,100,85,90,60,100,100
p00074,High public trust,Female,1960,White / Caucasian,Doctorate degree / Ph.D.,"$30,000 to $55,999",Republican,70,90,65,60,75,70,60,75,50,55,55,35,85,85,90,70,65,50,70,65,70,45,75,40,0,2,70,65,70,75,50,25,45,15,60,15,65,10,45,30,80,75,45,70
p00075,Oil industry misinformation,Male,1961,White / Caucasian,Master's degree / Professional degree,"$100,000 to $167,999",Republican,75,60,60,75,70,60,45,45,85,75,60,60,50,40,60,50,20,85,35,15,70,10,55,40,0,2,25,20,20,60,10,10,10,10,40,20,10,20,35,65,45,30,35,35
p00076,control,Female,2007,White / Caucasian,Some college or Associate's degree,"$30,000 to $55,999",Democrat,91,91,90,52,70,47,80,69,45,52,64,83,13,74,61,64,68,87,86,64,82,49,68,40,4,2,89,72,59,52,19,41,58,65,76,56,92,74,85,59,67,49,68,53
p00077,Funding,Male,2007,Black / African American,Less than high school,"Less than $30,000",Democrat,43,9,68,44,17,43,43,32,56,29,45,61,17,50,29,45,25,57,73,59,85,56,25,59,2,1,53,27,53,43,48,17,20,36,13,36,42,17,61,61,53,22,62,76
p00078,Social justice,Female,1957,Black / African American,High school diploma / GED,"Less than $30,000",Democrat,50,50,60,80,20,60,70,80,70,50,20,60,30,60,80,60,70,70,60,60,80,50,80,40,7,2,90,80,90,70,10,30,30,90,30,60,70,80,80,80,80,20,60,50
p00079,control,Male,1973,White / Caucasian,Some college or Associate's degree,"$100,000 to $167,999",Republican,90,50,70,60,70,60,80,50,20,60,90,50,30,50,70,60,40,20,40,30,10,50,90,70,3,1,20,10,30,20,40,40,30,60,60,20,30,20,10,10,40,10,70,30
p00080,control,Male,1976,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Democrat,70,60,60,10,30,70,40,40,10,50,50,10,50,10,70,30,10,70,50,60,40,70,10,60,1,2,90,40,60,60,10,30,10,40,70,30,40,20,60,70,40,90,90,60
p00081,control,Female,1997,White / Caucasian,Bachelor's degree,"$100,000 to $167,999",Democrat,75,75,75,75,75,75,75,100,75,75,75,75,0,100,75,75,75,50,75,50,75,75,75,0,5,1,75,75,50,75,100,75,50,75,100,50,100,50,75,75,75,50,75,75
p00082,Former skeptics,Male,1974,White / Caucasian,High school diploma / GED,"$168,000 or more",Democrat,40,60,80,20,50,30,90,80,60,40,30,30,40,10,80,90,70,70,90,50,80,70,50,20,5,1,50,80,90,70,80,40,50,40,90,10,80,60,80,70,90,20,90,60
p00083,Social justice,Male,1961,White / Caucasian,Some college or Associate's degree,"$56,000 to $99,999",Republican,70,80,100,20,30,40,80,50,50,50,90,80,30,0,30,20,30,20,90,10,50,60,70,20,0,2,80,10,20,30,20,70,0,30,40,20,0,40,40,70,90,0,0,90
p00084,Interview Prof. Maraun,Male,1948,White / Caucasian,High school diploma / GED,"Less than $30,000",Democrat,80,65,60,65,75,70,90,85,70,60,75,60,15,80,85,25,90,65,55,35,85,45,90,15,4,2,60,75,75,90,85,55,25,50,90,20,80,60,75,80,80,55,70,60
p00085,Measurement & modeling (2),Female,1992,Hispanic / Latino,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,75,65,85,90,40,80,85,85,70,60,75,90,55,25,80,90,55,35,30,75,80,65,80,25,0,2,50,60,60,60,75,65,65,10,70,35,85,65,60,90,60,55,85,65
p00086,High public trust,Male,1987,White / Caucasian,Less than high school,"$100,000 to $167,999",Republican,41,11,34,23,35,47,57,19,22,27,16,10,8,45,36,8,39,40,67,8,13,29,29,67,1,2,26,24,42,27,38,36,75,9,72,24,51,29,32,38,19,35,18,40
p00087,Interview Prof. Sebille,Male,1998,Black / African American,High school diploma / GED,"$100,000 to $167,999",Republican,60,90,30,70,50,50,40,40,60,70,20,40,80,10,40,50,50,60,50,40,50,30,80,30,0,2,60,10,40,10,40,40,60,60,20,20,10,20,40,20,50,20,60,30
p00088,Interview Prof. Maraun,Male,1998,White / Caucasian,Bachelor's degree,"$30,000 to $55,999",Democrat,85,95,100,45,70,90,75,25,95,95,65,20,15,80,75,75,50,40,70,45,90,35,70,15,8,2,95,70,70,65,65,55,15,70,85,25,70,55,80,45,75,35,95,75
p00089,Former skeptics,Male,1958,Asian / Asian American,High school diploma / GED,"$100,000 to $167,999",Democrat,60,60,65,50,75,85,55,75,55,75,65,70,30,60,55,65,65,35,85,75,70,90,50,60,3,2,75,75,80,80,80,15,50,55,65,70,20,35,65,65,50,40,65,90
p00090,Corporate reliance,Male,1970,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Democrat,95,65,95,90,85,95,85,85,85,95,85,90,20,70,90,80,45,60,90,80,65,75,80,50,3,1,55,30,70,45,65,85,70,65,75,95,70,55,65,40,90,70,70,70
p00091,Peer-review,Female,1963,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Republican,70,20,40,10,30,50,40,40,10,40,40,50,70,20,30,30,10,20,30,40,60,20,10,50,5,2,20,50,20,10,40,40,50,20,40,10,20,30,70,60,30,20,30,30
p00092,Measurement & modeling (1),Male,1981,Hispanic / Latino,High school diploma / GED,"Less than $30,000",Democrat,60,90,60,80,70,70,80,90,70,60,70,70,30,80,60,60,70,50,80,80,60,60,60,10,7,2,80,30,90,90,80,10,10,70,60,70,50,60,90,80,70,70,90,60
p00093,control,Female,1974,White / Caucasian,Master's degree / Professional degree,"$56,000 to $99,999",Democrat,95,95,90,100,100,100,95,90,95,95,85,95,10,95,90,100,90,100,100,100,85,100,90,0,7,2,100,100,90,100,75,40,50,70,100,80,100,100,90,90,100,45,95,90
p00094,Extreme weather predictions,Male,1989,White / Caucasian,High school diploma / GED,"Less than $30,000",Republican,20,50,50,30,40,30,30,20,60,20,50,60,50,40,50,20,50,80,90,10,60,40,30,40,1,2,40,10,40,10,20,40,10,50,60,10,10,30,30,40,40,30,60,60
p00095,Scientist community helpers,Male,2005,White / Caucasian,High school diploma / GED,"$56,000 to $99,999",Independent,50,80,50,50,60,35,45,50,55,60,50,50,70,60,70,90,45,55,65,35,80,50,55,55,1,2,50,55,45,55,10,60,50,75,45,85,90,55,55,40,65,10,45,60
